model,mode,video_id,title,topic,subtopic,query_source,pool_scope,candidate_pool_size,top5,top5_with_scores,gold_keywords,vlm_order,ndcg_at_5,weighted_precision_at_5
bert,current,KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,title+summary,full_pool,116,"Powers of i, Powers of complex numbers, Imaginary part, Operations with complex numbers, Nth root",1. Powers of i (1.000); 2. Powers of complex numbers (0.987); 3. Imaginary part (0.913); 4. Operations with complex numbers (0.898); 5. Nth root (0.770),"Powers of i, Roots of unity, Complex plane, Complex plane rotation, Imaginary part, Modulus of a complex number, Operations with complex numbers, Powers of complex numbers, Real part, Rectangular form (Standard form)","Powers of i, Powers of complex numbers, Imaginary part, Operations with complex numbers, Nth root",0.8134,0.6
bert,current,BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,title+summary,full_pool,116,"Operations with complex numbers, Imaginary part, Conjugate number, Real part, Argand diagram",1. Operations with complex numbers (1.000); 2. Imaginary part (0.961); 3. Conjugate number (0.912); 4. Real part (0.708); 5. Argand diagram (0.660),"Conjugate number, Imaginary part, Operations with complex numbers, Real part, Rectangular form (Standard form), Algebraic form, Argand diagram, Complex plane, Equations involving complex numbers","Operations with complex numbers, Imaginary part, Conjugate number, Real part, Argand diagram",0.9563,0.9333
bert,current,kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,title+summary,full_pool,116,"Imaginary part, Operations with complex numbers, Complex plane, Powers of i, Real part",1. Imaginary part (1.000); 2. Operations with complex numbers (0.956); 3. Complex plane (0.946); 4. Powers of i (0.834); 5. Real part (0.677),"Algebraic form, Argand diagram, Complex plane, Imaginary part, Real part, Rectangular form (Standard form), Conjugate number, Modulus of a complex number, Nth root, Powers of i","Imaginary part, Operations with complex numbers, Complex plane, Powers of i, Real part",0.8087,0.8
bert,current,KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,title+summary,full_pool,116,"Regions in the complex plane, Complex plane, Imaginary part, Rectangular form (Standard form), Real part",1. Regions in the complex plane (1.000); 2. Complex plane (0.915); 3. Imaginary part (0.822); 4. Rectangular form (Standard form) (0.642); 5. Real part (0.612),"Argand diagram, Complex plane, Imaginary part, Real part, Regions in the complex plane, Algebraic form, Equations involving complex numbers, Modulus of a complex number, Rectangular form (Standard form)","Regions in the complex plane, Complex plane, Imaginary part, Real part, Rectangular form (Standard form)",0.9513,0.9333
bert,current,AqtgBbEI4wM,Sketching the Locus of Complex Numbers,Complex Numbers,Complex Plane and Loci,title+summary,full_pool,116,"Equations involving complex numbers, Modulus of a complex number, Regions in the complex plane, Argand diagram, Algebraic form",1. Equations involving complex numbers (1.000); 2. Modulus of a complex number (0.914); 3. Regions in the complex plane (0.893); 4. Argand diagram (0.797); 5. Algebraic form (0.761),"Argand diagram, Complex plane, Equations involving complex numbers, Modulus of a complex number, Regions in the complex plane, Algebraic form, Imaginary part, Operations with complex numbers, Real part, Rectangular form (Standard form)","Equations involving complex numbers, Regions in the complex plane, Modulus of a complex number, Argand diagram, Algebraic form",0.9563,0.9333
bert,current,G8GAsYkZlpE,Second Derivative Test for Relative Extrema,Differentiation,Extrema and Concavity,title+summary,full_pool,116,"Second derivative test, Local maximum, Local minimum, Critical point, Concavity",1. Second derivative test (1.000); 2. Local maximum (0.906); 3. Local minimum (0.895); 4. Critical point (0.857); 5. Concavity (0.719),"Critical point, Local maximum, Local minimum, Second derivative test, Concavity, First derivative test, Higher-order derivatives, Optimization, Stationary point, Unconstrained optimization","Second derivative test, Local maximum, Local minimum, Critical point, Concavity",1.0,0.9333
bert,current,8mjcnxGMwFo,Lagrange Multipliers,Optimization,Constrained Optimization,title+summary,full_pool,116,"Lagrange multipliers, Constrained optimization, Optimization, Minimum, Maximum",1. Lagrange multipliers (1.000); 2. Constrained optimization (0.950); 3. Optimization (0.876); 4. Minimum (0.750); 5. Maximum (0.701),"Constrained optimization, Lagrange multipliers, Optimization, Critical point, Feasible set, Maximum, Minimum, Optimal solution, Stationary point","Lagrange multipliers, Constrained optimization, Optimization, Minimum, Maximum",1.0,0.8667
bert,current,LVLuqNH5iWw,Local Extrema of a Multivariable Function,Differentiation,Extrema and Concavity,title+summary,full_pool,116,"Local maximum, Local minimum, Second derivative test, Critical point, Saddle point",1. Local maximum (0.963); 2. Local minimum (0.938); 3. Second derivative test (0.901); 4. Critical point (0.886); 5. Saddle point (0.790),"Critical point, Hessian matrix, Local maximum, Local minimum, Saddle point, Second derivative test, Unconstrained optimization, Maximum, Minimum, Optimization, Stationary point","Local maximum, Local minimum, Second derivative test, Critical point, Saddle point",1.0,1.0
bert,current,vwUV2IDLP8Q,Constrained Optimization,Optimization,Constrained Optimization,title+summary,full_pool,116,"Constrained optimization, Optimization, Lagrange multipliers, Feasible set, Maximum",1. Constrained optimization (1.000); 2. Optimization (0.914); 3. Lagrange multipliers (0.891); 4. Feasible set (0.773); 5. Maximum (0.689),"Constrained optimization, Lagrange multipliers, Maximum, Optimization, Critical point, Feasible set, Maximizer, Optimal solution, Stationary point, Tangent line","Constrained optimization, Optimization, Lagrange multipliers, Feasible set, Maximum",0.9948,0.9333
bert,current,kv8pMEALdWo,Introduction to Kuhn-Tucker Conditions,Optimization,Constrained Optimization,title+summary,full_pool,116,"Constrained optimization, Optimization, KKT conditions, Optimal solution, Lagrange multipliers",1. Constrained optimization (1.000); 2. Optimization (0.927); 3. KKT conditions (0.857); 4. Optimal solution (0.845); 5. Lagrange multipliers (0.834),"Constrained optimization, KKT conditions, Optimal solution, Optimization, Feasible set, Global optimum, Lagrange multipliers, Maximizer, Maximum, Minimizer, Minimum","Constrained optimization, Optimization, KKT conditions, Optimal solution, Lagrange multipliers",1.0,0.9333
